Kernel,DataType,Size,Stride,ScalarTime,SIMDTime,Speedup,GFLOPs,BandwidthGBs,Efficiency
SAXPY,float32,8192,1,0.000677833,0.00067656,1.00188,24.2166,135.321,1
SAXPY,float32,8192,2,0.00209105,0.0020873,1.0018,7.84937,43.8618,1
SAXPY,float32,8192,4,0.0010637,0.00106414,0.999587,15.3965,86.0345,1
SAXPY,float32,8192,8,0.0006757,0.0006773,0.997638,24.1902,135.173,1
SAXPY,float32,8192,16,0.00043162,0.0004284,1.00752,38.2446,213.709,1
SAXPY,float32,32768,1,0.00030534,0.000304467,1.00287,21.5249,120.279,1
SAXPY,float32,32768,2,0.0008407,0.000840167,1.00063,7.80036,43.5879,1
SAXPY,float32,32768,4,0.00045618,0.0004524,1.00836,14.4863,80.9485,1
SAXPY,float32,32768,8,0.000304967,0.000304725,1.00079,21.5066,120.178,1
SAXPY,float32,32768,16,0.00021154,0.000211667,0.999402,30.9619,173.013,1
SAXPY,float32,131072,1,0.000918,0.0009093,1.00957,28.8292,161.096,1
SAXPY,float32,131072,2,0.00230324,0.00229384,1.0041,11.4282,63.8599,1
SAXPY,float32,131072,4,0.00150712,0.00148818,1.01273,17.6151,98.4322,1
SAXPY,float32,131072,8,0.00115655,0.00115885,0.998015,22.621,126.405,1
SAXPY,float32,131072,16,0.000856225,0.000848633,1.00895,30.8901,172.612,1
