Kernel,DataType,Size,ScalarTime,SIMDTime,Speedup,GFLOPs,BandwidthGBs,CacheLevel
SAXPY,float32,256,1.7125e-05,1.84e-05,0.930707,27.8261,155.49,L1
SAXPY,float32,512,2.92e-05,2.99e-05,0.976589,34.2475,191.373,L1
SAXPY,float32,1024,5.036e-05,5.284e-05,0.953066,38.7585,216.58,L1
SAXPY,float32,2048,0.0001226,0.000121233,1.01127,33.7861,188.794,L1
SAXPY,float32,4096,0.000240667,0.0002418,0.995313,33.8792,189.315,L1
SAXPY,float32,8192,0.000676525,0.0006755,1.00152,24.2546,135.533,L1
SAXPY,float32,16384,0.0015221,0.0015226,0.999672,21.5211,120.258,L1
SAXPY,float32,32768,0.0015221,0.00152217,0.999956,21.5272,120.293,L1
SAXPY,float32,65536,0.00295028,0.00292938,1.00713,22.372,125.013,L2
SAXPY,float32,131072,0.00445053,0.00443105,1.0044,29.5803,165.293,L2
SAXPY,float32,262144,0.00414946,0.00426248,0.973485,12.3001,68.732,L2
SAXPY,float32,524288,0.00845553,0.00830146,1.01856,12.6312,70.5825,L3
SAXPY,float32,1048576,0.0161924,0.0162187,0.998376,12.9305,72.2546,L3
SAXPY,float32,2097152,0.0211887,0.0206321,1.02698,10.1645,56.7987,L3
SAXPY,float32,4194304,0.0812791,0.0798322,1.01812,5.2539,29.3584,L3
SAXPY,float32,8388608,0.163318,0.170294,0.959034,4.92595,27.5259,L3
SAXPY,float32,16777216,0.382545,0.374745,1.02081,4.47697,25.017,DRAM
SAXPY,float32,33554432,0.761796,0.758827,1.00391,4.42188,24.7092,DRAM
SAXPY,float32,67108864,1.57907,1.57624,1.00179,4.25752,23.7907,DRAM
