Kernel,DataType,Size,ScalarTime,SIMDTime,Speedup,GFLOPs,BandwidthGBs
SAXPY,float32,1024,5.89e-05,5.77e-05,1.0208,35.4939,198.338
DOT_PRODUCT,float32,1024,7.515e-05,7.51667e-05,0.999778,27.2461,101.5
ELEMENTWISE_MULTIPLY,float32,1024,5.77667e-05,5.8025e-05,0.995548,17.6476,197.227
STENCIL_3POINT,float32,1024,0.00018626,0.0001864,0.999249,27.4678,81.8605
SAXPY,float32,4096,0.0002299,0.000229733,1.00073,35.6587,199.259
DOT_PRODUCT,float32,4096,0.000417525,0.0004289,0.973479,19.1,71.1531
ELEMENTWISE_MULTIPLY,float32,4096,0.00023074,0.000230675,1.00028,17.7566,198.445
STENCIL_3POINT,float32,4096,0.000751,0.000739667,1.01532,27.6881,82.5171
SAXPY,float32,16384,0.00014634,0.00014802,0.98865,22.1375,123.703
DOT_PRODUCT,float32,16384,0.00018476,0.000191475,0.96493,17.1135,63.7526
ELEMENTWISE_MULTIPLY,float32,16384,0.00017154,0.00017594,0.974991,9.31227,104.073
STENCIL_3POINT,float32,16384,0.00032704,0.00032556,1.00455,25.1628,74.991
SAXPY,float32,65536,0.000581767,0.00058145,1.00054,22.5423,125.965
DOT_PRODUCT,float32,65536,0.000730075,0.000727833,1.00308,18.0085,67.087
ELEMENTWISE_MULTIPLY,float32,65536,0.000658275,0.000659675,0.997878,9.93459,111.028
STENCIL_3POINT,float32,65536,0.00124564,0.00123503,1.00859,26.5323,79.0723
SAXPY,float32,262144,0.0037717,0.00376163,1.00268,13.9378,77.8834
DOT_PRODUCT,float32,262144,0.00351968,0.00350783,1.00338,14.9462,55.679
ELEMENTWISE_MULTIPLY,float32,262144,0.00547948,0.0054803,0.999849,4.78339,53.4585
STENCIL_3POINT,float32,262144,0.0041172,0.00417,0.987338,31.4321,93.6751
SAXPY,float32,1048576,0.0153285,0.0154623,0.991345,13.563,75.7891
DOT_PRODUCT,float32,1048576,0.0143407,0.0142945,1.00323,14.671,54.6538
ELEMENTWISE_MULTIPLY,float32,1048576,0.0255355,0.026205,0.974453,4.00143,44.7195
STENCIL_3POINT,float32,1048576,0.0167171,0.0169221,0.987887,30.9825,92.3351
SAXPY,float64,1024,0.0001234,0.0001235,0.99919,16.583,185.329
DOT_PRODUCT,float64,1024,0.0002,0.000200075,0.999625,10.2362,76.2653
ELEMENTWISE_MULTIPLY,float64,1024,0.0001244,0.0001244,1,8.23151,183.989
STENCIL_3POINT,float64,1024,0.000395275,0.000395133,1.00036,12.9577,77.2336
SAXPY,float64,4096,0.0006609,0.000675233,0.978773,12.1321,135.587
DOT_PRODUCT,float64,4096,0.00091714,0.00091632,1.00089,8.94011,66.609
ELEMENTWISE_MULTIPLY,float64,4096,0.000837775,0.000842575,0.994303,4.86129,108.658
STENCIL_3POINT,float64,4096,0.00161188,0.00161188,1,12.7057,75.7319
SAXPY,float64,16384,0.0002977,0.000297067,1.00213,11.0305,123.276
DOT_PRODUCT,float64,16384,0.000387867,0.0003873,1.00146,8.46062,63.0366
ELEMENTWISE_MULTIPLY,float64,16384,0.000344333,0.000344275,1.00017,4.75899,106.372
STENCIL_3POINT,float64,16384,0.000660225,0.00067216,0.982244,12.1876,72.6436
SAXPY,float64,65536,0.000884767,0.000879867,1.00557,14.8968,166.485
DOT_PRODUCT,float64,65536,0.00153394,0.00152666,1.00477,8.58554,63.9673
ELEMENTWISE_MULTIPLY,float64,65536,0.0025074,0.00248374,1.00953,2.6386,58.9773
STENCIL_3POINT,float64,65536,0.0014147,0.0014361,0.985099,22.8174,136.002
SAXPY,float64,262144,0.0080629,0.0081116,0.993996,6.46344,72.2345
DOT_PRODUCT,float64,262144,0.00734772,0.0073407,1.00096,7.14221,53.2136
ELEMENTWISE_MULTIPLY,float64,262144,0.0109975,0.0110771,0.992816,2.36654,52.8963
STENCIL_3POINT,float64,262144,0.00832112,0.0083429,0.997389,15.7106,93.6425
SAXPY,float64,1048576,0.0325179,0.0319617,1.0174,6.56145,73.33
DOT_PRODUCT,float64,1048576,0.03221,0.0326495,0.986538,6.42322,47.8568
ELEMENTWISE_MULTIPLY,float64,1048576,0.060298,0.0622216,0.969085,1.68523,37.6678
STENCIL_3POINT,float64,1048576,0.0344269,0.0344907,0.99815,15.2009,90.6041
