Kernel,DataType,Size,ScalarTime,SIMDTime,Speedup,GFLOPs,BandwidthGBs
SAXPY,float32,1024,6.185e-05,6.19e-05,0.999192,33.0856,184.88
DOT_PRODUCT,float32,1024,8.05667e-05,8.05e-05,1.00083,25.441,94.7751
ELEMENTWISE_MULTIPLY,float32,1024,6.188e-05,6.19e-05,0.999677,16.5428,184.88
STENCIL_3POINT,float32,1024,0.0001998,0.000199625,1.00088,25.6481,76.4373
SAXPY,float32,4096,0.0002462,0.0002463,0.999594,33.2603,185.856
DOT_PRODUCT,float32,4096,0.0004461,0.0004471,0.997763,18.3225,68.2567
ELEMENTWISE_MULTIPLY,float32,4096,0.0002464,0.000246967,0.997705,16.5852,185.354
STENCIL_3POINT,float32,4096,0.000793275,0.000792775,1.00063,25.8333,76.9893
SAXPY,float32,16384,0.000152475,0.00015222,1.00168,21.5267,120.29
DOT_PRODUCT,float32,16384,0.0001916,0.0001916,1,17.1023,63.711
ELEMENTWISE_MULTIPLY,float32,16384,0.000172,0.0001719,1.00058,9.53112,106.519
STENCIL_3POINT,float32,16384,0.00033232,0.000330033,1.00693,24.8217,73.9745
SAXPY,float32,65536,0.00060268,0.00060946,0.988875,21.5063,120.176
DOT_PRODUCT,float32,65536,0.000760525,0.0007609,0.999507,17.2259,64.1715
ELEMENTWISE_MULTIPLY,float32,65536,0.00064314,0.000637275,1.0092,10.2838,114.93
STENCIL_3POINT,float32,65536,0.00059378,0.00059304,1.00125,55.2543,164.671
SAXPY,float32,262144,0.0038609,0.00380783,1.01394,13.7687,76.9384
DOT_PRODUCT,float32,262144,0.0036778,0.00370913,0.991555,14.1351,52.6573
ELEMENTWISE_MULTIPLY,float32,262144,0.00567288,0.00566524,1.00135,4.62724,51.7134
STENCIL_3POINT,float32,262144,0.00428562,0.0043383,0.987858,30.2128,90.041
SAXPY,float32,1048576,0.0160139,0.0161408,0.992142,12.9929,72.6034
DOT_PRODUCT,float32,1048576,0.014794,0.0149067,0.992434,14.0685,52.4092
ELEMENTWISE_MULTIPLY,float32,1048576,0.0251987,0.0243362,1.03544,4.30871,48.1536
STENCIL_3POINT,float32,1048576,0.016538,0.0171061,0.966789,30.6491,91.3415
SAXPY,float64,1024,0.0001152,0.0001152,1,17.7778,198.682
DOT_PRODUCT,float64,1024,0.000186633,0.000186733,0.999464,10.9675,81.7143
ELEMENTWISE_MULTIPLY,float64,1024,0.0001135,0.0001135,1,9.02203,201.658
STENCIL_3POINT,float64,1024,0.0003602,0.000361067,0.9976,14.1802,84.5206
SAXPY,float64,4096,0.000618,0.00062008,0.996646,13.2112,147.647
DOT_PRODUCT,float64,4096,0.00085605,0.0008547,1.00158,9.58465,71.4112
ELEMENTWISE_MULTIPLY,float64,4096,0.0008038,0.00080416,0.999552,5.09351,113.849
STENCIL_3POINT,float64,4096,0.00150933,0.00154898,0.974405,13.2216,78.8069
SAXPY,float64,16384,0.00028436,0.00028405,1.00109,11.536,128.925
DOT_PRODUCT,float64,16384,0.00036,0.00035682,1.00891,9.18334,68.4212
ELEMENTWISE_MULTIPLY,float64,16384,0.00026214,0.00026196,1.00069,6.25439,139.797
STENCIL_3POINT,float64,16384,0.00063358,0.00063096,1.00415,12.9834,77.387
SAXPY,float64,65536,0.00086725,0.00083568,1.03778,15.6845,175.288
DOT_PRODUCT,float64,65536,0.0015627,0.00156103,1.00107,8.39649,62.5587
ELEMENTWISE_MULTIPLY,float64,65536,0.00257237,0.00254808,1.00953,2.57198,57.4881
STENCIL_3POINT,float64,65536,0.00125795,0.00125178,1.00493,26.1771,156.028
SAXPY,float64,262144,0.00839853,0.0083627,1.00428,6.26936,70.0656
DOT_PRODUCT,float64,262144,0.00793848,0.0077354,1.02625,6.77777,50.4984
ELEMENTWISE_MULTIPLY,float64,262144,0.0126955,0.0126852,1.00081,2.06653,46.1906
STENCIL_3POINT,float64,262144,0.0093108,0.0094852,0.981613,13.8186,82.3652
SAXPY,float64,1048576,0.0445032,0.0450745,0.987324,4.65263,51.9972
DOT_PRODUCT,float64,1048576,0.0325655,0.0325151,1.00155,6.44977,48.0545
ELEMENTWISE_MULTIPLY,float64,1048576,0.0641254,0.0629286,1.01902,1.66629,37.2446
STENCIL_3POINT,float64,1048576,0.0357735,0.0357286,1.00126,14.6742,87.4649
