Kernel,DataType,Size,ScalarTime,SIMDTime,Speedup,GFLOPs,BandwidthGBs,CacheLevel
SAXPY,float32,256,1.738e-05,1.68e-05,1.03452,30.4762,170.299,L1
SAXPY,float32,512,2.8625e-05,2.758e-05,1.03789,37.1284,207.471,L1
SAXPY,float32,1024,5.062e-05,5.294e-05,0.956177,38.6853,216.171,L1
SAXPY,float32,2048,0.00012424,0.0001237,1.00437,33.1124,185.03,L1
SAXPY,float32,4096,0.0002464,0.000246333,1.00027,33.2558,185.831,L1
SAXPY,float32,8192,0.00072192,0.0007184,1.0049,22.8062,127.44,L1
SAXPY,float32,16384,0.0015309,0.00152945,1.00095,21.4247,119.72,L1
SAXPY,float32,32768,0.00153044,0.00152925,1.00078,21.4275,119.735,L1
SAXPY,float32,65536,0.00310025,0.00305414,1.0151,21.4581,119.906,L2
SAXPY,float32,131072,0.00442438,0.0043601,1.01474,30.0617,167.983,L2
SAXPY,float32,262144,0.00424023,0.004044,1.04852,12.9646,72.4453,L2
SAXPY,float32,524288,0.0085783,0.00833772,1.02885,12.5763,70.2755,L3
SAXPY,float32,1048576,0.0163308,0.0157964,1.03384,13.2762,74.1864,L3
SAXPY,float32,2097152,0.0180276,0.0171038,1.05401,12.2613,68.5153,L3
SAXPY,float32,4194304,0.0661054,0.0665017,0.994042,6.30707,35.2435,L3
SAXPY,float32,8388608,0.169447,0.165788,1.02207,5.05984,28.2741,L3
SAXPY,float32,16777216,0.358618,0.369053,0.971724,4.54601,25.4028,DRAM
SAXPY,float32,33554432,0.757286,0.76888,0.984921,4.36407,24.3861,DRAM
SAXPY,float32,67108864,1.50341,1.50861,0.996555,4.44839,24.8573,DRAM
