Kernel,DataType,Size,Stride,ScalarTime,SIMDTime,Speedup,GFLOPs,BandwidthGBs,Efficiency
SAXPY,float32,8192,1,0.0006768,0.000675133,1.00247,24.2678,135.607,1
SAXPY,float32,8192,2,0.002079,0.00209218,0.9937,7.83107,43.7595,1
SAXPY,float32,8192,4,0.00106353,0.00106313,1.00038,15.4112,86.1166,1
SAXPY,float32,8192,8,0.0006739,0.000674275,0.999444,24.2987,135.78,1
SAXPY,float32,8192,16,0.000428533,0.00042735,1.00277,38.3386,214.234,1
SAXPY,float32,32768,1,0.00030495,0.000305475,0.998281,21.4538,119.882,1
SAXPY,float32,32768,2,0.000839033,0.000838925,1.00013,7.8119,43.6524,1
SAXPY,float32,32768,4,0.0004418,0.00044275,0.997854,14.802,82.7128,1
SAXPY,float32,32768,8,0.000297567,0.00029895,0.995373,21.9221,122.499,1
SAXPY,float32,32768,16,0.000206567,0.000207425,0.995862,31.595,176.551,1
SAXPY,float32,131072,1,0.0009087,0.00090545,1.00359,28.9518,161.781,1
SAXPY,float32,131072,2,0.00235007,0.00234005,1.00428,11.2025,62.5988,1
SAXPY,float32,131072,4,0.00154268,0.00155082,0.994751,16.9036,94.4561,1
SAXPY,float32,131072,8,0.00115918,0.00114802,1.00972,22.8344,127.597,1
SAXPY,float32,131072,16,0.000854533,0.000849125,1.00637,30.8723,172.512,1
