Kernel,DataType,Size,VectorWidth,ScalarTime,SIMDTime,Speedup,GFLOPs,BandwidthGBs,ArithmeticIntensity
SAXPY,float32,1024,8,6.19e-05,6.188e-05,1.00032,33.0963,184.94,0.166667
SAXPY,float32,4096,8,0.000246333,0.0002462,1.00054,33.2738,185.932,0.166667
SAXPY,float32,16384,8,0.00015235,0.00015234,1.00007,21.5098,120.195,0.166667
SAXPY,float32,65536,8,0.00061202,0.00061808,0.990195,21.2063,118.5,0.166667
SAXPY,float32,262144,8,0.00445562,0.00435394,1.02335,12.0417,67.2882,0.166667
SAXPY,float64,1024,4,0.000123433,0.00012352,0.999298,16.5803,185.299,0.0833333
SAXPY,float64,4096,4,0.00055198,0.00055162,1.00065,14.8508,165.971,0.0833333
SAXPY,float64,16384,4,0.00030736,0.00030706,1.00098,10.6715,119.264,0.0833333
SAXPY,float64,65536,4,0.0009,0.00088255,1.01977,14.8515,165.979,0.0833333
SAXPY,float64,262144,4,0.00848544,0.00819968,1.03485,6.39401,71.4586,0.0833333
SAXPY,int32,1024,8,6.71333e-05,6.734e-05,0.996931,30.4128,169.945,0.166667
SAXPY,int32,4096,8,0.000236875,0.0002359,1.00413,34.7266,194.05,0.166667
SAXPY,int32,16384,8,0.000147767,0.00014814,0.99748,22.1196,123.603,0.166667
SAXPY,int32,65536,8,0.00059986,0.000593225,1.01118,22.0948,123.464,0.166667
SAXPY,int32,262144,8,0.0043087,0.00429608,1.00294,12.2039,68.1944,0.166667
