Kernel,DataType,Size,Alignment,HasTail,ScalarTime,SIMDTime,Speedup,GFLOPs,BandwidthGBs
SAXPY,float32,1027,aligned,yes,6.4275e-05,6.23e-05,1.0317,32.9695,184.231
SAXPY,float32,1024,aligned,no,6.24e-05,6.31333e-05,0.988384,32.4393,181.269
SAXPY,float32,1027,misaligned,yes,9.385e-05,9.37e-05,1.0016,21.921,122.493
SAXPY,float32,1024,misaligned,no,9.23e-05,9.228e-05,1.00022,22.1933,124.015
SAXPY,float32,4099,aligned,yes,0.00024816,0.000248033,1.00051,33.052,184.692
SAXPY,float32,4096,aligned,no,0.00024698,0.0002462,1.00317,33.2738,185.932
SAXPY,float32,4099,misaligned,yes,0.00037034,0.000369233,1.003,22.2028,124.068
SAXPY,float32,4096,misaligned,no,0.000368025,0.00036782,1.00056,22.2718,124.453
SAXPY,float32,16387,aligned,yes,0.00015252,0.00015275,0.998494,21.456,119.895
SAXPY,float32,16384,aligned,no,0.00015258,0.0001523,1.00184,21.5154,120.227
SAXPY,float32,16387,misaligned,yes,0.000200575,0.0001996,1.00488,16.4198,91.753
SAXPY,float32,16384,misaligned,no,0.00020004,0.000199525,1.00258,16.423,91.7707
SAXPY,float32,65539,aligned,yes,0.00060946,0.000609475,0.999975,21.5067,120.178
SAXPY,float32,65536,aligned,no,0.00044195,0.0004385,1.00787,29.891,167.029
SAXPY,float32,65539,misaligned,yes,0.00073718,0.000737375,0.999736,17.7763,99.3328
SAXPY,float32,65536,misaligned,no,0.000737233,0.00073755,0.999571,17.7713,99.3047
